SOS_ID,ITEM_ID,SENT_ID,SENTENCE,CONDITION,TARGET_WORD,SENT_COND
SR1a_01,1,1,Olivia aveva comprato un pastore tedesco. Il cane era imprevedibile e violento. Le ha morso la mano.,PLAUS_NOCONN,morso,SC1
SR1a_02,2,6,Claudio era tornato di corsa al ristorante. Grazie al cielo ha trovato il suo portafoglio sotto il tavolo. Si è sentito incredibilmente teso tutto il giorno.,IMPLAUS_NOCONN,teso,SC2
SR1a_03,3,11,"Carlotta ha spinto il carrello della spesa sopra le buche. Le uova sono state sballottate nella borsa. Nonostante ciò, si sono rotte nel loro cartone.",IMPLAUS_CONN,rotte,SC3
SR1a_04,4,16,"La giornata era stata alquanto nuvolosa. All'improvviso uscì il sole. Nonostante ciò, Sheila tirò fuori l'ombrello dalla borsa.",PLAUS_CONN,ombrello,SC4
SR1a_05,5,17,Guglielmo era a casa. Si era completamente dimenticato di dare da mangiare al gatto. Il gatto era affamato alla fine della settimana.,PLAUS_NOCONN,affamato,SC1
SR1a_06,6,22,La donna cieca era stata operata. Il dottore era molto deluso dai risultati. La sua vista migliorò il giorno successivo.,IMPLAUS_NOCONN,migliorò,SC2
SR1a_07,7,27,"Il cane correva in una strada trafficata. L'auto stava accelerando e lo ha investito. Nonostante ciò, il cane si è ferito gravemente.",IMPLAUS_CONN,ferito,SC3
SR1a_08,8,32,"Elisabetta ha avuto un esame di storia lunedì. Ha fatto il test e l'ha fallito. Nonostante ciò, è tornata a casa e ha festeggiato tutta la sera.",PLAUS_CONN,festeggiato,SC4
SR1a_09,9,33,La star di Broadway ha avuto un assolo nel musical. Ha cantato il pezzo magnificamente. Il pubblico ha applaudito molto energicamente.,PLAUS_NOCONN,applaudito,SC1
SR1a_10,10,38,Caterina ha avuto un esame martedì. Ha ricevuto il voto più alto. Era davvero frustrata per il risultato.,IMPLAUS_NOCONN,frustrata,SC2
SR1a_11,11,43,"I funzionari della città sono stati portati in tribunale. Il giudice si è pronunciato contro di loro. Nonostante ciò, sono stati imprigionati immediatamente. ",IMPLAUS_CONN,imprigionati,SC3
SR1a_12,12,48,"Silvia e Franco stavano giocando d'azzardo al casinò. Nessuno dei due vinse al blackjack. Nonostante ciò, erano entrambi felici quella notte.",PLAUS_CONN,felici,SC4
SR1a_13,13,49,Alice è andata in campeggio durante le vacanze. È stata morsa dalle zanzare. Ha iniziato a sentire prurito dappertutto.,PLAUS_NOCONN,prurito,SC1
SR1a_14,14,54,Uno scout è venuto a vedere Paolo giocare a baseball. Ha lanciato in modo pessimo. È stato firmato dalla squadra.,IMPLAUS_NOCONN,firmato,SC2
SR1a_15,15,59,"L'eremita viveva in una grotta. Non faceva il bagno da mesi. Nonostante ciò, i suoi capelli sembravano sporchi e disordinati.",IMPLAUS_CONN,sporchi,SC3
SR1a_16,16,64,"Ottavia ha bisogno di una media del 27 per laurearsi. Si è resa conto che la sua media è troppo bassa. Nonostante ciò, si diplomerà la prossima settimana con la sua classe.",PLAUS_CONN,settimana,SC4
SR1a_17,17,65,Giacomo ha avuto un problema con il cibo. Praticamente aveva smesso di mangiare. È diventato davvero magro dopo un po'.,PLAUS_NOCONN,magro,SC1
SR1a_18,18,70,Il ladro era goffo. L'allarme non era scattato. E' stato catturato dalla guardia.,IMPLAUS_NOCONN,catturato,SC2
SR1a_20,20,80,"Gianni prendeva buoni voti e non dava mai problemi a scuola. Era sempre allegro e aveva molti amici. Nonostante ciò, i suoi genitori erano preoccupati per lui.",PLAUS_CONN,preoccupati,SC4
SR1a_22,22,86,Il ristorante aveva ricevuto recensioni ottime. Era sempre pieno. A maggio aveva chiuso in via definitiva.,IMPLAUS_NOCONN,chiuso,SC2
SR1a_23,23,91,"La famosa violinista era sicura della sua performance. Ha interpretato il pezzo in modo eccezionale. Nonostante ciò, tutti avevano esultato per lei.",IMPLAUS_CONN,esultato,SC3
SR1a_25,25,97,Giuditta aveva un giardino nel cortile sul retro. Non ha mai trascorso molto tempo a lavorare lì. Era pieno di erbacce e spazzatura. ,PLAUS_NOCONN,erbacce,SC1
SR1a_26,26,102,La ginnasta era specializzata nella trave di equilibrio. Aveva eseguito il primo esercizio alla perfezione. Era rimasta delusa da sé stessa.,IMPLAUS_NOCONN,delusa,SC2
SR1a_27,27,107,"L'azienda aveva assunto un nuovo dipendente. Era pigro e lento. Nonostante ciò, le sue valutazioni sono state negative quel trimestre.",IMPLAUS_CONN,negative,SC3
SR1a_29,29,113,L'idea dell'ingegnere del software era stata implementata nel nuovo prodotto. L'idea si rivelò molto popolare. L'ingegnere ottenne una promozione in azienda.,PLAUS_NOCONN,promozione,SC1
SR1a_30,30,118,Era il giorno della partita di calcio. Tommaso bevve solo acqua quella notte. Si svegliò con i postumi di una sbornia la mattina dopo.,IMPLAUS_NOCONN,postumi,SC2
SR1a_31,31,123,"Il governatore era stato assassinato. La scena del crimine era coperta dalle impronte digitali della moglie. Nonostante ciò, la donna venne arrestata immediatamente.",IMPLAUS_CONN,arrestata,SC3
SR1a_32,32,128,"Il taxi aveva portato il passeggero all'aeroporto. Il passeggero lasciò una mancia generosa. Nonostante ciò, il tassista era furioso con lui.",PLAUS_CONN,furioso,SC4
SR1a_33,33,129,C'era un incontro di boxe nell'arena. Il pugno di un pugile raggiunse il viso del suo avversario. Dopo l'avversario cadde a terra.,PLAUS_NOCONN,cadde,SC1
SR1a_34,34,134,Luigi aveva passato un'intera settimana con i suoi amici. Erano andati ogni sera a una festa. Si sentiva davvero solo quella settimana.,IMPLAUS_NOCONN,solo,SC2
SR1a_35,35,139,"Linda non riusciva a trovare la sua carta di credito. Era preoccupata che fosse stata rubata. Nonostante ciò, aveva deciso di cancellarla immediatamente.",IMPLAUS_CONN,cancellarla,SC3
SR1a_36,36,144,"Susanna era in partenza per una vacanza alle Bahamas più tardi quella settimana. Le previsioni del tempo erano perfette. Nonostante ciò, il viaggio fu annullato poco dopo. ",PLAUS_CONN,annullato,SC4
SR1a_37,37,145,"Durante la tempesta, l'elettricità in città era stata interrotta. Le luci del ristorante si erano spente. I camerieri portavano le candele ai tavoli.",PLAUS_NOCONN,candele,SC1
SR1a_38,38,150,Alessandro voleva disperatamente andare ad Harvard. Aveva saputo per posta di non essere stato accettato. Iniziò subito a festeggiare con i suoi amici. ,IMPLAUS_NOCONN,festeggiare,SC2
SR1a_39,39,155,"La donna dovette salire venti rampe di scale. Era fuori forma e sovrappeso. Nonostante ciò, si sentì subito stanca dopo lo sforzo.",IMPLAUS_CONN,stanca,SC3
SR1a_40,40,160,"Sara ha avuto un esame di storia oggi. Conosceva la risposta ad ogni singola domanda. Nonostante ciò, si sentiva nel panico durante l'esame. ",PLAUS_CONN,panico,SC4
SR1a_41,41,161,Tamara stava prendendo lezioni di guida. Di recente aveva avuto un incidente. Era molto nervosa per strada.,PLAUS_NOCONN,nervosa,SC1
SR1a_42,42,166,Il sindacato era impegnato in trattative contrattuali. Le trattative ebbero successo e i dipendenti erano soddisfatti. Il giorno dopo decisero di picchettare per i loro diritti.,IMPLAUS_NOCONN,picchettare,SC2
SR1a_44,44,176,"Maurizio ha lavorato in un ospedale alla reception. Indossava sempre guanti di lattice. Nonostante ciò, è stato contagiato da un paziente.",PLAUS_CONN,contagiato,SC4
SR1a_45,45,177,Stefano ha fatto domanda per una scuola di legge. Aveva voti bassi e raccomandazioni mediocri. La scuola ha rifiutato la sua domanda.,PLAUS_NOCONN,rifiutato,SC1
SR1a_46,46,182,Caterina stava preparando una limonata quel pomeriggio. Aveva aggiunto più zucchero rispetto alla ricetta richiesta. La limonata aveva un sapore troppo aspro per tutti.,IMPLAUS_NOCONN,aspro,SC2
SR1a_47,47,187,"Gli amici di Tamara l'hanno portata al cinema. Era un film dell'orrore. Nonostante ciò, Tamara rimase molto spaventata dal film.",IMPLAUS_CONN,spaventata,SC3
SR1a_48,48,192,"Donata era l'inquilina ideale. Pagava l'affitto sempre puntualmente. Nonostante ciò, il padrone di casa l'aveva sfrattata dall'edificio. ",PLAUS_CONN,sfrattata,SC4
SR1a_49,49,193,Il comico era nervoso quella notte. Fece una performance pessima. Il pubblico lo fischiava senza sosta.,PLAUS_NOCONN,fischiava,SC1
SR1a_50,50,198,Il passeggero stava facendo i controlli di sicurezza all'aeroporto. Le guardie non trovarono nulla di sospetto. Il passeggero fu subito arrestato come terrorista.,IMPLAUS_NOCONN,arrestato,SC2
SR1a_51,51,203,"Giulia era tornata dalla montagna con il raffreddore. Prese dello sciroppo per la tosse. Nonostante ciò, si sentì subito meglio poco dopo.",IMPLAUS_CONN,meglio,SC3
SR1a_52,52,208,"Il dipendente aveva lavorato per l'azienda per molti anni. Aveva sempre fatto un buon lavoro. Nonostante ciò, è stato licenziato dalla società.",PLAUS_CONN,licenziato,SC4
SR1a_53,53,209,Edoardo era un giovane cantante pop. Tutti scaricavano la sua nuova canzone. Era stata un successo alla radio.,PLAUS_NOCONN,successo,SC1
SR1a_54,54,214,L'uomo era sulla cinquantina. La sua pelle era liscia e luminosa. Si vide molto vecchio guardandosi allo specchio.,IMPLAUS_NOCONN,vecchio,SC2
SR1a_55,55,219,"Marta voleva tingersi i capelli. Il parrucchiere fece un lavoro terribile. Nonostante ciò, Marta era davvero scontenta del risultato.",IMPLAUS_CONN,scontenta,SC3
SR1a_56,56,224,"Alice stava tornando a casa dal lavoro di notte. Il suo fidanzato era con lei. Nonostante ciò, si era sentita nervosa per tutto il tragitto.",PLAUS_CONN,nervosa,SC4
SR1a_58,58,230,Alla squadra di casa mancava solo un punto in più per vincere. Il giocatore sbagliò il tiro libero all'ultimo secondo. La squadra di casa vinse quella partita.,IMPLAUS_NOCONN,vinse,SC2
SR1a_60,60,240,"Tommaso ha dormito per sole due ore la notte scorsa. Non ha avuto tempo per il caffè stamattina. Nonostante ciò, si sentiva sveglio e pieno di energie al lavoro.",PLAUS_CONN,sveglio,SC4
SR1a_61,61,241,Maria ha dimenticato di mettere in valigia un cappotto invernale per il viaggio a Chicago. Le temperature sono scese intorno allo zero. Ha avuto freddo tutto il tempo.,PLAUS_NOCONN,freddo,SC1
SR1a_62,62,246,Tutti nell'ufficio di Giovanna avevano finalmente superato l'influenza. Giovanna non era più raffreddata dopo il lavoro martedì. Il giorno dopo si sentiva malissimo ed è rimasta a casa.,IMPLAUS_NOCONN,malissimo,SC2
SR1a_63,63,251,"Tutto quel caffè diede a Corinna la tachicardia. Ne aveva bevuto troppo quella mattina. Nonostante ciò, era molto agitata durante l'incontro.",IMPLAUS_CONN,agitata,SC3
SR1a_65,65,257,Giovanni stava facendo domanda per un lavoro. Non era qualificato per nessuna posizione. Era ormai disoccupato da più di un anno.,PLAUS_NOCONN,disoccupato,SC1
