SOS_ID,ITEM_ID,SENT_ID,SENTENCE,CONDITION,TARGET_WORD,SENT_COND
SR1a_01,1,1,Olivia avait acheté un berger allemand. Le chien était imprévisible et violent. Il a mordu sa main.,PLAUS_NOCONN,mordu,SC1
SR1a_02,2,6,"Claudio s'était dépêché de retourner au restaurant. Dieu merci, il a trouvé son portefeuille sous la table. Il s'est senti incroyablement tendu toute la journée.",IMPLAUS_NOCONN,tendu,SC2
SR1a_03,3,11,"Carlotta a poussé le caddie sur les nids de poule. Les œufs ont été jetés dans le sac. Cependant, ils se sont cassés dans leur carton.",IMPLAUS_CONN,cassés,SC3
SR1a_04,4,16,"La journée avait été plutôt nuageuse. Soudain, le soleil est apparu. Cependant, Sheila a sorti son parapluie de son sac.",PLAUS_CONN,parapluie,SC4
SR1a_05,5,17,William était à la maison. Il avait complètement oublié de nourrir le chat. Le chat avait faim à la fin de la semaine.,PLAUS_NOCONN,faim,SC1
SR1a_06,6,22,La femme aveugle avait été opérée. Le médecin a été très déçu par les résultats. Sa vue s'est améliorée le jour suivant.,IMPLAUS_NOCONN,améliorée,SC2
SR1a_07,7,27,"Le chien courait dans une rue animée. La voiture roulait vite et l'a percuté. Cependant, le chien a été gravement blessé ce jour-là.",IMPLAUS_CONN,blessé,SC3
SR1a_08,8,32,"Elisabeth a passé un examen d'histoire lundi. Elle a passé le test et l'a raté. Cependant, elle est rentrée chez elle et a fait la fête toute la soirée.",PLAUS_CONN,fêté,SC4
SR1a_09,9,33,La star de Broadway a eu un solo dans la comédie musicale. Elle a chanté le morceau magnifiquement. Le public a applaudi très vigoureusement.,PLAUS_NOCONN,applaudi,SC1
SR1a_10,10,38,Catherine a eu un examen mardi. Elle a reçu la meilleure note. Elle était vraiment frustrée par le résultat.,IMPLAUS_NOCONN,frustrée,SC2
SR1a_11,11,43,"Les fonctionnaires de la ville ont été traduits en justice. Le juge s'est prononcé contre eux. Cependant, ils ont été emprisonnés immédiatement. ",IMPLAUS_CONN,emprisonnés,SC3
SR1a_12,12,48,"Silvia et Franco jouaient au casino. Aucun des deux n'a gagné au blackjack. Cependant, ils étaient tous deux heureux cette nuit-là.",PLAUS_CONN,heureux,SC4
SR1a_13,13,49,Alice a fait du camping pendant ses vacances. Elle a été piquée par des moustiques. Elle a commencé à avoir des démangeaisons partout.,PLAUS_NOCONN,démangeaisons,SC1
SR1a_14,14,54,Un recruteur est venu voir Paul jouer au baseball. Il a très mal lancé. Il a été signé par l'équipe.,IMPLAUS_NOCONN,signé,SC2
SR1a_15,15,59,"L'ermite vivait dans une grotte. Il ne s'était pas lavé depuis des mois. Cependant, ses cheveux étaient sales et en désordre.",IMPLAUS_CONN,sales,SC3
SR1a_16,16,64,"Octavia a besoin d'une moyenne de 27 pour obtenir son diplôme. Elle a réalisé que sa moyenne est trop basse. Cependant, elle sera diplômée la semaine prochaine avec sa classe.",PLAUS_CONN,semaine ,SC4
