ITEM_ID,SENT_ID,SENTENCE,CONDITION,TARGET_WORD
2,5,Claudio era tornato di corsa al ristorante. Aveva perso il portafoglio da qualche parte. Si è sentito incredibilmente teso tutto il giorno.,PLAUS_NOCONN,teso
5,17,Guglielmo era a casa. Si era completamente dimenticato di dare da mangiare al gatto. Il gatto era affamato alla fine della settimana.,PLAUS_NOCONN,affamato
7,28,"Il cane correva in una strada trafficata. Fortunatamente, l'auto ha sterzato e lo ha mancato. Tuttavia, il cane si è ferito gravemente.",IMPLAUS_CONN,ferito
9,35,"La star di Broadway ha avuto un assolo nel musical. Ha cantato il pezzo magnificamente. Tuttavia, il pubblico ha applaudito molto energicamente.",PLAUS_CONN,applaudito
11,43,"I funzionari della città sono stati portati in tribunale. Il giudice si è pronunciato contro di loro. Tuttavia, sono stati imprigionati immediatamente. ",PLAUS_CONN,imprigionati
13,50,Alice è andata in campeggio durante le vacanze. Ha usato un ottimo repellente per le zanzare. Ha iniziato a sentire prurito dappertutto.,IMPLAUS_NOCONN,prurito
15,60,"L'eremita viveva in una grotta. Si lavava in un fiume di montagna ogni giorno. Tuttavia, i suoi capelli sembravano sporchi e disordinati.",IMPLAUS_CONN,sporchi
17,68,"Giacomo ha avuto un problema con il cibo. Non riusciva a smettere di mangiare. Tuttavia, è diventato davvero magro dopo un po'.",IMPLAUS_CONN,magro
21,82,I due paesi erano in guerra da anni. I leader respinsero la proposta di cessate il fuoco. Il conflitto finì poco dopo.,IMPLAUS_NOCONN,finì
24,95,"La sarta stava appuntando l'abito di Tobia. Era sbrigativa e negligente con gli spilli. Tuttavia, Tobia venne punto un paio di volte.",PLAUS_CONN,punto
26,104,"La ginnasta era specializzata nella trave di equilibrio. Aveva eseguito il primo esercizio alla perfezione. Tuttavia, era rimasta delusa da sé stessa.",IMPLAUS_CONN,delusa
29,115,"L'idea dell'ingegnere del software era stata implementata nel nuovo prodotto. L'idea si rivelò molto popolare. Tuttavia, l'ingegnere ottenne una promozione in azienda.",PLAUS_CONN,promozione
31,122,Il governatore era stato assassinato. Per la sera del crimine la moglie aveva un alibi molto solido. La donna venne arrestata immediatamente.,IMPLAUS_NOCONN,arrestata
33,130,C'era un incontro di boxe nell'arena. Il pugno di un pugile mancò il viso del suo avversario. Dopo l'avversario cadde a terra. ,IMPLAUS_NOCONN,cadde
34,134,Luigi aveva passato un'intera settimana con i suoi amici. Erano andati ogni sera a una festa. Si sentiva davvero solo quella settimana.,IMPLAUS_NOCONN,solo
35,139,"Linda non riusciva a trovare la sua carta di credito. Era preoccupata che fosse stata rubata. Tuttavia, aveva deciso di cancellarla immediatamente.",PLAUS_CONN,cancellarla
38,149,Alessandro voleva disperatamente andare ad Harvard. Aveva ricevuto una lettera di accettazione per posta. Iniziò subito a festeggiare con i suoi amici.,PLAUS_NOCONN,festeggiare
40,160,"Sara ha avuto un esame di storia oggi. Conosceva la risposta ad ogni singola domanda. Tuttavia, si sentiva nel panico durante l'esame. ",IMPLAUS_CONN,panico
